id,Place Name,created_at,favorite_count,full_text,quote_count,reply_count,retweet_count
1,Monumen Nasional,Wed Mar 27 17:01:11 +0000 2024,95,Persaudaraan Alumni 212 Menyerukan HADIRILAH SIDANG SENGKETA PEMILU CURANG 2024 Kamis 28 Maret 2024 Pukul 07.00 S/D Selesai Lokasi Area Patung Kuda Monas Jakarta Pusat Pusat Sampai jumpa di Medan juang Perubahan Tetap Menyala Damai terhadap kecurangan adalah kemunafikan https://t.co/ZqD1iQRRSk,3,2,54
1,Monumen Nasional,Sun Sep 17 09:29:05 +0000 2023,200,[Az] ini mah udah bukan gapura kabupaten gedenya udah kayak menara monas ini mah https://t.co/iQvgySiYgo,10,6,22
1,Monumen Nasional,Fri Jul 21 10:08:07 +0000 2023,69,Teman nya @MasMasBiassaa aja nih.. @AgrahaLaksmana MABES TNI di monas? . Yg di cilangkap MABES apa yah? https://t.co/EXXwglMVUA,6,9,27
1,Monumen Nasional,Mon Jul 17 11:08:49 +0000 2023,1445,10 tahun yang lalu Guwon mas vampir jason sama mantannya bora pernah jajan gulali di Monas Ada yang masih inget gak? *ytta #2PM #LeeJunHo #OkTaecyeon #HwangChansung #NICHKHUN #JangWooyoung #JunK https://t.co/ef3vTdMefi,120,49,388
1,Monumen Nasional,Wed Jul 26 16:30:54 +0000 2023,666,ctbz kata sender si tbz remake ini di bundaran hi atau monas https://t.co/ZVdwXIwyn6,30,4,101
1,Monumen Nasional,Sun Jul 23 10:24:23 +0000 2023,6,Terminus yang tersambung . . Transjakarta PT BPW Pahala Kencana PKT-103 2| MONAS - PULOGADUNG 1 Mercedes Benz OH 1626 M/T Cityline 2 Laksana Caroserrie Pulogadung https://t.co/rTVJHBAlR9,0,0,1
1,Monumen Nasional,Thu Jul 06 04:52:34 +0000 2023,64,Pekerjaan pembangunan CP 201 (Stasiun Thamrin dan Monas) fase 2A MRT Jakarta berjalan sesuai jadwal. Per 25 Juni 2023 perkembangan pembangunan telah mencapai 58 63 persen. Saat ini pembangunan Stasiun Monas telah masuk ke tahap pekerjaan pengecoran platform slab capping https://t.co/gJzaHRU9NZ,2,1,15
1,Monumen Nasional,Wed Jul 26 12:55:23 +0000 2023,4,JIS dan Monas dibangun Jokowi https://t.co/RfunNpE1Dx,0,0,0
1,Monumen Nasional,Fri Jul 14 13:11:07 +0000 2023,1,Mskpun gk kturutan naik tj dan MRTnya tpi gpplah yg pnting bisa smpe wisata 'utama' yaitu Monas Tiket ke atasnya udh soldout krna smpe monas udh bener² siang terikkk https://t.co/GQMqCb98dU,0,0,0
1,Monumen Nasional,Sat Jul 22 10:55:58 +0000 2023,56,Hari minggu ke rumah Ali Eh Halte Kalideres sudah mulai beroperasi kembali di Hari Minggu 23 Juli Halte ini melayani rute: 3 Kalideres - Monas via Veteran 3F Kalideres - Gelora Bung Karno M3 Kalideres - Monas via Veteran Transjakarta akan bagi-bagi Le Minerale GRATISS untuk https://t.co/cy3ZMhav76,7,12,16
1,Monumen Nasional,Sat Jul 29 08:16:38 +0000 2023,29,Piknik di lapangan banteng Piknik di monas Piknik di PIK Piknik di kuburan https://t.co/IYGXNjoqwc,0,4,0
1,Monumen Nasional,Sun Jul 16 00:04:34 +0000 2023,16,Gantung di Monas https://t.co/TBre4AZW36,3,18,1
1,Monumen Nasional,Sun Sep 24 12:53:43 +0000 2023,142,Dalam acara TNI AD Fair di Monas 24-27 September 2023 Hariff Defense menampilkan SLT (Senjata Lawan Tank) Latih Prototipe II buatan PT Hariff berkolaborasi dengan PT Dahana. Hariff bertanggung jawab pada sistem elektronik &amp; Dahana untuk propelan pendorong roket. https://t.co/fFpxIDlLre,2,11,24
